last,first,mlbid,ab_id,pitch_id,start_speed,x0,z0,px,pz,pfx_x,pfx_z,stand,inning,height,spinrateND,spindirND,vxf,vzf,xangle,zangle,pitch_type
Teheran,Julio,527054,8285292,18238858,72.0975,-2.89949,5.43701,-0.899204,2.39391,6.86,-4.7,L,1,74,1209.06,53.0637,5.8093,-15.6401,-3.43904,9.19026,CU
Harang,Aaron,421685,8340820,18452032,75.0953,-2.16835,6.67063,0.739063,2.77951,3.127,-6.097,R,3,79,910.764,28.6127,6.66588,-17.6893,-3.80418,10.007,CU
Westbrook,Jake,150414,6779512,13931199,78.077,-1.83407,5.61155,0.494602,1.11242,-0.35,-1.98,R,3,75,303.696,7.47667,4.59682,-17.6598,-2.57559,9.80455,CU
Ondrusek,Logan,446185,8334839,18429175,76.9153,-0.853418,6.86352,1.30522,1.32524,4.602,-5.904,L,8,80,1172.9,34.7866,5.78779,-20.976,-3.22769,11.551,CU
Harrell,Lucas,449173,7932831,16967779,82.2962,-2.68374,6.42811,0.401568,1.12755,5.377,-9.835,R,4,74,2356.38,28.7948,8.40044,-22.1322,-4.41793,11.5056,CU
Correia,Kevin,429781,7277725,15290415,77.1503,-1.53896,6.32694,-0.960447,3.75639,9.42,-5.97,L,3,75,2053.84,54.5672,4.11822,-15.0295,-2.30972,8.37377,CU
Peralta,Joel,407908,6929225,14365774,80.5506,-1.9232,6.27993,-0.363828,2.17135,5.58,-5.8,R,7,71,1228.66,40.4806,5.10611,-18.1743,-2.73624,9.65415,CU
Aumont,Phillippe,518418,8088120,17565519,82.583,-3.29123,5.67227,1.64062,-1.21566,7.146,-6.797,R,7,79,2346.55,43.8742,12.8766,-24.4623,-6.82849,12.8161,CU
Volstad,Christopher,458690,7115517,14881286,78.0421,-1.74079,6.77472,-0.85928,1.60101,3.77,-11.73,L,2,80,2768.46,16.8602,2.99435,-22.1545,-1.65387,12.0587,CU
Peralta,Joel,407908,7331912,15425932,78.5154,-1.91747,6.40455,0.115377,1.56748,3.938,-2.302,R,7,71,612.274,50.0935,5.42572,-18.4812,-2.97553,10.0404,CU
Proctor,Scott,429984,7078437,14780541,76.0953,-1.8462,6.19972,0.241734,2.03281,3.85,-10.31,R,10,73,2370.8,21.2174,5.26758,-19.4965,-3.05937,11.1897,CU
Vogelsong,Ryan,285064,7174879,15039445,75.9957,-2.41412,6.08205,-0.71875,2.05145,5.47,-6.46,R,7,75,1163.42,38.1925,5.10293,-18.1145,-2.84715,10.0121,CU
Strasburg,Stephen,544931,8294061,18272457,80.7425,-1.42431,6.4701,1.04032,1.26927,5.052,-6.359,R,1,76,1417.97,35.8604,6.81845,-20.6385,-3.67186,10.9926,CU
Moscoso,Guillermo,446861,7704622,16335276,80.7916,-0.83524,5.97476,0.602365,1.75763,6.691,-0.395,R,8,73,800.078,77.2915,5.26521,-16.6403,-2.78132,8.72891,CU
Gee,Dillon,518716,8222086,17997101,74.7499,-1.19194,5.4869,0.762339,1.48678,7.801,-10.236,L,5,73,2817.38,35.8184,6.08862,-19.0963,-3.6093,11.1907,CU
Devries,Cole,453301,8043999,17396453,74.8431,-1.95531,6.15606,-0.155856,2.83795,9.232,-10.765,L,7,74,4161.08,39.4784,6.2771,-17.9655,-3.66347,10.3842,CU
Chacin,Jhoulys,468504,8348480,18481408,77.851,-1.40056,6.35919,-0.0792424,1.77178,5.852,-2.73,L,1,75,1132.53,57.5094,4.5812,-18.1061,-2.49956,9.78884,CU
Lackey,John,407793,8210236,17951494,80.2505,-2.47495,6.77761,0.947602,1.75861,9.87,-2.803,L,3,78,1914.32,68.2407,10.379,-19.0855,-5.57362,10.1732,CU
Wainwright,Adam,425794,8009134,17263122,75.1881,-1.2562,6.48315,0.803513,1.26122,6.62,-10.038,R,2,79,3508.53,31.606,6.00458,-21.4428,-3.50735,12.346,CU
Fife,Stephen,543155,8327406,18400652,79.2164,-1.15843,6.28856,0.687387,1.83947,6.958,-7.278,L,4,75,1943.08,41.2563,6.09538,-19.3363,-3.28398,10.3162,CU
Halladay,Roy,136880,8190698,17876236,80.542,-2.04738,6.14593,0.958378,2.55418,2.339,3.703,L,1,78,379.379,129.165,7.10151,-13.9628,-3.77315,7.38818,CU
Davies,Kyle,434678,7472002,15763813,78.9794,-2.91807,6.06982,-0.209098,2.0688,6.25,-7.8,L,2,73,1871.78,37.8095,7.49406,-18.4988,-4.18598,10.2409,CU
Chacin,Jhoulys,468504,7829119,16656975,79.8988,-1.16577,6.27611,-0.747718,1.87629,7.46,-3.08,L,4,75,1559.73,60.5253,3.33329,-17.8953,-1.77571,9.44957,CU
Johnson,Alan,489567,6760586,13875561,79.7362,-2.52531,5.75931,-1.30471,2.33431,6.022,-5.703,L,2,73,1691.92,43.9502,4.54911,-16.7181,-2.41248,8.80128,CU
Halladay,Roy,136880,7941657,17001516,78.53,-2.12322,6.27395,0.926659,1.58761,1.174,0.083,R,4,78,202.551,55.8934,6.6086,-17.4046,-3.63558,9.49964,CU
Buchholz,Clay,453329,8169344,17792803,75.4733,-1.07387,6.33131,-0.819634,3.36555,8.292,-8.51,L,4,75,1854.4,41.1688,3.02702,-16.6034,-1.75093,9.51836,CU
Jimenez,Ubaldo,434622,8049205,17416359,80.0796,-1.70677,5.70115,2.17874,2.07404,8.441,-3.12,R,6,76,1599.8,66.2807,10.879,-16.2808,-5.82886,8.68613,CU
Lincecum,Tim,453311,7182324,15058259,77.7129,-0.512552,6.21583,-0.177438,1.48859,3.011,-6.707,L,6,71,1013.33,21.0193,1.63981,-19.6404,-0.904847,10.7119,CU
Resop,Chris,434592,8068679,17490406,83.7313,-1.09455,5.94262,-0.152696,2.36436,2.5,-5.6,L,8,75,886.633,22.6485,2.92994,-17.0995,-1.48998,8.63176,CU
Coleman,Casey,488787,6875607,14210453,76.3996,-0.477578,6.18615,-0.418741,1.84276,8.455,-4.701,R,3,72,1389.08,55.4482,2.78484,-18.1973,-1.54724,10.0097,CU
Simon,Alfredo,430580,7973254,17126215,81.0371,-2.82027,5.95481,-0.0081844,2.5633,5.755,-2.879,R,8,76,926.878,60.1033,7.93832,-15.7262,-4.1263,8.13346,CU
Cueto,Johnny,456501,7667777,16243521,83.4513,-2.25048,6.15465,0.454285,0.643705,1.97,-3.3,R,1,70,592.351,29.2552,6.58465,-20.5187,-3.36636,10.3868,CU
Pestano,Vinnie,502260,6869665,14193368,82.6645,-3.30578,4.41043,-1.67197,3.0388,9.14,-1.72,L,9,72,1413.51,76.9926,6.56063,-11.0022,-3.45495,5.78128,CU
Guthrie,Jeremy,425386,7921148,16922853,74.8647,-1.60163,5.83775,-0.4523,2.5603,9.645,-5.298,L,2,73,1895.76,57.915,5.21379,-16.2405,-2.97904,9.20772,CU
Lyon,Brandon,407193,8029476,17340931,78.677,-2.1612,5.92186,-0.398186,3.31973,10.805,-6.961,R,9,73,2906.64,55.2962,7.03256,-15.3914,-3.89641,8.47839,CU
Villanueva,Carlos,453646,7115240,14880258,60.3967,-1.76265,6.54492,-0.366999,2.69497,6.76,-9.29,L,4,74,1727.3,34.383,3.86049,-18.5476,-2.75355,13.0112,CU
Goforth,David,592341,8359004,18520940,76.5337,-2.20399,5.46479,0.727817,2.52112,6.861,-5.383,R,9,72,1485.17,50.6857,7.94689,-15.5968,-4.51461,8.80882,CU
Hellickson,Jeremy,476451,8242190,18073754,73.0134,-2.1352,6.02698,-0.986992,3.38568,10.596,-9.836,L,4,73,3762.38,45.5092,5.29625,-16.384,-3.16672,9.71217,CU
Lewis,Colby,407890,7801672,16581908,78.5186,-2.69546,6.57863,0.40745,2.21414,7.17,-3.72,L,3,76,1332.9,57.641,8.61324,-17.957,-4.75604,9.84035,CU
Simon,Alfredo,430580,7544913,15943147,78.6465,-2.74869,6.591,-0.477306,2.52037,6.93,-0.96,L,3,76,1068.61,73.8365,6.89575,-16.4839,-3.76473,8.93909,CU
Rodriguez,Francisco,408061,7499366,15830773,74.9389,-1.8232,5.96805,-0.617618,1.95563,6.476,-7.28,L,8,72,1695.91,38.9538,4.35581,-18.2917,-2.48662,10.3352,CU
Nova,Ivan,467100,8061565,17463258,81.1141,-2.16055,6.54071,0.980656,1.80879,2.294,-8.392,R,5,76,1654.37,18.5574,7.33288,-20.3157,-3.96477,10.8697,CU
Medlen,Kris,450665,8062876,17468276,81.1168,-1.06343,5.84922,0.0726625,1.70165,6.133,-8.026,R,6,70,1845.2,34.7812,4.42942,-19.0142,-2.35746,10.0221,CU
Hochevar,Luke,460024,8072610,17505429,78.2094,-2.19123,6.0912,-0.859048,2.90046,8.319,-8.65,L,2,77,2755.42,41.9605,5.34653,-17.1272,-2.96826,9.43102,CU
Arroyo,Bronson,276520,7109537,14865316,75.4892,-2.28126,6.32879,1.27683,1.77203,7.649,-2.295,R,1,76,1206.46,66.8673,9.34457,-17.828,-5.33766,10.1068,CU
Lackey,John,407793,6868397,14188474,79.7389,-2.57818,6.48891,-0.147928,3.92708,5.56,-6.98,R,4,78,1310.28,38.9042,6.84341,-15.3146,-3.71128,8.25928,CU
Beachy,Brandon,545404,7694267,16307939,75.5105,-1.02139,6.47014,-0.263408,2.84164,4.423,-11.104,R,1,75,2852.02,20.8295,2.85669,-18.7192,-1.6295,10.5594,CU
Hudson,Tim,218596,7843713,16705357,77.9611,-2.04811,5.33029,-0.947161,2.51358,10.82,-5.96,L,4,73,2750.84,58.7584,5.71797,-15.5208,-3.12684,8.43443,CU
Mendoza,Luis,434669,8056774,17444992,81.9607,-2.76729,6.4656,-0.680626,3.8997,3.978,-3.418,R,3,75,734.452,47.2064,5.76023,-14.1385,-3.0571,7.4682,CU
Balfour,Grant,346797,8057495,17447742,84.8281,-1.64038,6.65212,0.161286,2.07066,3.62,0.07,L,9,74,407.95,74.2777,5.28178,-17.3863,-2.64401,8.64344,CU
LeCure,Sam,459967,7993258,17202566,75.871,-2.6339,5.98516,-1.55074,1.722,4.94,-4.4,L,9,73,875.474,43.1977,3.69825,-17.9234,-2.07635,9.96562,CU
Hernandez,Livan,115817,7166793,15018708,69.1671,-1.66601,5.7378,0.435202,2.50051,8.14,-2.24,L,4,74,1126.61,69.1408,6.06045,-15.3778,-3.80043,9.56743,CU
Wooten,Robert,543942,8292263,18265439,75.2386,-1.83723,5.89424,0.99567,2.62389,6.764,-8.954,R,9,73,2327.57,37.3405,7.57402,-17.3301,-4.39355,9.97074,CU
Cobb,Alexander,502171,8004948,17247268,78.8385,-1.64553,5.64293,0.769298,1.15361,5.831,-6.964,R,5,73,1743.81,38.1838,6.84645,-19.2804,-3.73409,10.4143,CU
Cloyd,Tyler,543031,8069637,17494028,76.7641,-2.45076,5.8996,0.306532,3.00544,4.254,-3.848,R,2,75,738.162,46.9615,6.87931,-15.0161,-3.82767,8.30872,CU
Mariot,Michael,592527,7912773,16901927,79.6728,-1.93154,5.70457,0.525595,0.442988,7.476,-3.494,L,10,72,1434.07,58.6425,7.567,-19.8106,-4.05914,10.5247,CU
Bailey,Homer,456701,8066481,17482020,80.5208,-2.33402,6.20175,1.54043,1.79269,6.659,-3.145,R,6,75,1192.74,60.9137,10.4134,-17.9611,-5.4663,9.37257,CU
Aceves,Alfredo,469686,7842256,16700257,82.0241,-3.29499,5.88879,-0.0647114,2.8638,7.76,-4.08,R,7,75,1436.08,59.7987,9.44271,-15.3344,-5.0129,8.10696,CU
Shields,James,448306,6933969,14379505,76.2419,-1.79141,5.8193,-0.150272,3.67757,10.33,-10.5,L,7,76,4203.64,43.9622,6.42099,-15.5923,-3.67398,8.86252,CU
Zimmermann,Jordan,519455,7945647,17016709,77.3867,-2.01215,5.85607,-1.40324,2.49534,6.012,-9.337,L,2,74,2154.56,30.5806,3.10498,-17.666,-1.74929,9.85738,CU
Hughes,Phil,461833,7999375,17225783,75.8067,-2.76218,5.79903,1.11048,1.92065,6.02,-8.425,R,1,77,2115.41,36.6775,9.50175,-18.3882,-5.40052,10.3677,CU
Darvish,Yu,506433,8185229,17854986,81.3207,-2.3416,5.60476,0.0713313,1.98933,7.79,-5.62,L,4,77,1583.78,51.7896,7.72876,-17.11,-4.0656,8.94228,CU
Medlen,Kris,450665,8350207,18488161,76.9143,-0.741361,5.83623,-1.43219,1.12476,6.71,-10.32,L,4,70,2885.67,28.7341,0.715408,-20.6736,-0.403471,11.5025,CU
Tillman,Chris,501957,8346978,18475665,74.9156,-2.22365,7.17908,-0.220839,4.82149,-0.56,-11.571,R,4,77,2031.57,359.963,3.74628,-16.3659,-2.1438,9.28751,CU
Arrieta,Jake,453562,8316249,18357796,81.0569,-2.59299,6.23761,0.2787,1.88947,5.146,-6.869,L,4,76,1566.46,36.1928,7.77032,-19.0552,-4.12779,10.0362,CU
Cashner,Andrew,488768,8202695,17922466,85.2653,-1.60431,6.33083,0.818007,2.4306,3.328,-2.972,R,2,78,582.249,44.8601,6.61131,-16.9539,-3.27535,8.34882,CU
Feldman,Scott,444857,8191918,17880996,77.595,-2.08438,6.20364,-0.46003,3.11531,9.662,-3.306,R,6,78,1702.99,66.4289,6.28566,-15.2287,-3.54539,8.53688,CU
Weaver,Jered,450308,8273719,18194348,71.3605,-3.31602,6.04384,-1.01093,1.52443,5.272,-5.234,L,1,79,999.238,42.119,5.84134,-18.5645,-3.50718,11.0222,CU
Masset,Nick,434665,7257357,15240577,80.662,-0.54464,6.81361,1.48239,1.31793,7.01,-9.79,R,9,76,3301.14,33.4697,6.53841,-22.3759,-3.52281,11.8971,CU
Darvish,Yu,506433,8185256,17855089,78.6788,-2.61564,5.48031,-2.16651,3.75121,5.81,-8.49,L,7,77,1511.27,33.4896,2.81406,-14.0983,-1.51794,7.56235,CU
Vogelsong,Ryan,285064,7930307,16958126,73.3796,-1.95564,6.16844,-1.37195,4.47836,2.632,-7.918,R,3,75,998.573,18.3385,1.91366,-13.9907,-1.11425,8.09302,CU
Cook,Aaron,346871,8009410,17264135,77.749,-1.50075,6.30293,1.27726,1.50267,8.252,-11.626,R,7,75,4638.03,34.7026,8.21197,-21.3074,-4.58349,11.7506,CU
Strasburg,Stephen,544931,8300948,18299181,80.4154,-1.1133,6.33365,-0.729544,3.29078,9.276,-8.939,R,3,76,3044.13,43.4665,3.84365,-16.9654,-2.06374,9.03736,CU
McDonald,James,457428,8062580,17467215,78.3367,-1.54527,6.79066,-0.114493,1.30156,10.586,-10.929,L,4,77,5888.69,41.0872,6.2841,-22.5392,-3.47643,12.2922,CU
Germano,Justin,430683,8049527,17417594,70.8411,-0.665162,5.98114,-0.0142927,2.36391,7.782,-6.174,R,3,75,1504.2,47.3808,3.44665,-17.1548,-2.10203,10.3529,CU
Arroyo,Bronson,276520,7965973,17097898,76.2444,-2.07767,6.29969,0.504459,1.10512,10.041,-2.406,R,6,76,1748.63,69.0755,8.21369,-19.1343,-4.67964,10.7962,CU
Porcello,Rick,519144,7843347,16703964,76.3905,-2.45249,6.29543,-0.00355776,1.32944,4.5,-3.45,L,6,77,712.292,47.307,6.33633,-19.0553,-3.51314,10.4606,CU
Lackey,John,407793,6898893,14278065,78.6806,-2.67244,6.69449,0.835516,1.86962,3.63,-6.37,L,7,78,1170.42,30.9039,8.29039,-19.7244,-4.60916,10.8579,CU
Withrow,Chris,519437,8263980,18157118,77.0956,-1.73262,6.2577,0.147465,3.75926,4.274,-4.954,L,7,75,1119.11,40.3696,5.20469,-14.5595,-2.8267,7.86401,CU
Hernandez,Livan,115817,6882896,14232465,59.7745,-1.43362,5.77663,1.16059,1.73025,10.215,-3.628,R,4,74,1635.66,65.7546,6.50993,-17.4986,-4.71335,12.4961,CU
Atchison,Scott,425786,8019582,17303080,74.5365,-0.700115,6.62661,-0.906173,2.77149,5.424,-9.604,L,7,74,2093.83,26.0742,1.23819,-18.653,-0.72403,10.7789,CU
Frieri,Ernesto,457117,7913046,16902600,75.822,-2.44435,5.66952,0.557113,3.88457,2.672,-0.06,R,5,74,328.164,79.8192,6.76148,-11.6654,-3.83422,6.5957,CU
Cobb,Alexander,502171,8058887,17453042,79.7542,-1.81678,5.87958,0.268597,1.87736,4.51,-10.88,R,3,73,2924.52,23.0356,5.7326,-19.516,-3.17052,10.6793,CU
Feldman,Scott,444857,8073149,17507436,76.4399,-1.99627,6.22953,0.662187,1.24455,8.972,-3.264,L,3,78,1667.73,63.9415,8.10272,-19.0086,-4.55733,10.5916,CU
Cobb,Alexander,502171,8063603,17470984,79.0564,-1.93794,5.82336,1.39033,2.22605,8.567,-9.685,R,5,73,3444.64,41.4844,9.50293,-18.2785,-5.28834,10.0951,CU
Tillman,Chris,501957,8303220,18307663,77.2818,-2.36627,6.89327,0.278902,2.4493,2.651,-7.596,R,6,77,1327.85,20.838,6.19424,-19.3354,-3.42141,10.5711,CU
McHugh,Collin,543521,8097351,17601443,71.8463,-1.80199,6.03317,-1.94211,3.40611,9.125,-12.539,L,1,74,4593.42,33.7497,2.3698,-17.1464,-1.45483,10.4123,CU
Verlander,Justin,434378,7579609,16028281,77.4484,-2.27909,6.63823,-1.57202,1.78587,6.394,-4.502,L,1,77,1268.51,46.8576,3.42337,-19.1474,-1.92855,10.6658,CU
Vogelsong,Ryan,285064,6952197,14431950,77.5511,-1.90098,5.955,-0.635034,1.38299,6.997,-7.587,L,3,75,1712.15,39.5173,4.78761,-19.5947,-2.64881,10.7219,CU
Worley,Vance,474699,8057000,17445827,76.1915,-2.61021,6.84013,-1.1751,3.00652,8.389,-3.063,R,4,74,1311.14,64.9811,5.50633,-16.6546,-3.07081,9.21663,CU
Halladay,Roy,136880,8082689,17544424,77.4962,-1.92379,6.29682,-1.02,2.81563,2.197,-4.637,L,2,78,632.052,23.3119,2.5238,-16.4446,-1.40162,9.05829,CU
Jackson,Edwin,429719,7941422,17000608,80.4475,-1.92943,6.39644,-0.458004,2.28877,3.55,-4.31,R,1,75,726.665,35.7684,4.26769,-17.6917,-2.27162,9.33839,CU
Wainwright,Adam,425794,8303110,18307252,76.1444,-1.26074,6.4008,0.745328,1.36082,4.462,-9.163,R,7,79,2070.35,25.1877,5.32556,-20.8921,-3.06012,11.8446,CU
Durbin,Chad,239795,7322990,15403573,78.5516,-3.08662,6.22318,0.606882,2.74967,3.21,-8.88,R,7,74,1775.94,23.7532,8.52619,-17.7719,-4.73617,9.79795,CU
Feldman,Scott,444857,8164251,17776541,76.2228,-2.17522,6.42943,-0.540053,3.62272,7.685,-1.021,L,1,78,1079.43,77.1719,5.66564,-13.9641,-3.17846,7.79356,CU
Parker,Blake,453284,8312743,18344277,78.1448,-1.36726,6.5643,0.469441,2.52336,2.36,-4.8,R,8,75,713.938,25.7572,4.51121,-17.6481,-2.47298,9.58985,CU
Floyd,Gavin,425856,7123288,14901544,77.9514,-2.48852,6.06395,-1.97083,0.921393,9.73,-6.66,L,8,78,2421.29,50.0963,4.1422,-20.4621,-2.29564,11.2014,CU
Fister,Douglas,450729,8113305,17660661,75.1991,-3.28445,6.62131,0.460536,1.66797,6.38,-11.192,R,7,80,3227.42,30.5412,9.24991,-21.2996,-5.34112,12.1492,CU
Morrow,Brandon,453344,7856887,16755047,83.1226,-2.1699,5.98343,0.532257,2.96838,-0.897,-3.204,R,3,75,396.162,359.001,5.55067,-15.0272,-2.87657,7.74664,CU
Wainwright,Adam,425794,8048948,17415364,74.0568,-1.16425,6.4378,0.256505,1.43042,6.255,-8.859,R,2,79,2327.11,32.4487,4.60238,-20.628,-2.71035,11.9793,CU
Frieri,Ernesto,457117,7286220,15312129,79.487,-1.85725,5.87099,0.590179,1.27881,7.314,0.97,L,6,74,961.2,85.7748,7.41413,-16.9427,-4.04614,9.1822,CU
Hochevar,Luke,460024,8084503,17551440,77.3472,-1.56375,6.36171,1.05941,1.86339,9.38,-6.007,R,4,77,2238.14,53.8236,8.22466,-18.9154,-4.60285,10.4899,CU
Gallardo,Yovani,451596,8028997,17339102,80.5572,0.309413,6.60611,1.2757,0.7342,8.296,-7.228,R,4,74,2431.8,43.9122,4.7701,-22.3693,-2.5411,11.7565,CU
Tillman,Chris,501957,6697099,13684140,75.8346,-2.55852,6.71862,-1.25278,3.88513,4.055,-14.256,L,3,77,4571.8,16.4617,3.77012,-18.0718,-2.20885,10.4749,CU
Mendoza,Luis,434669,8022312,17313748,79.2641,-2.68207,6.79727,0.0969145,2.36529,3.729,-3.393,L,3,75,765.754,43.8985,6.96368,-18.0287,-3.7682,9.67673,CU
Zimmermann,Jordan,519455,8072968,17506745,80.0213,-1.84186,6.03614,0.758231,1.70111,4.938,-3.589,L,1,74,892.481,49.5882,7.06827,-17.9216,-3.77336,9.49337,CU
Harang,Aaron,421685,8038045,17373777,73.438,-1.72867,7.43498,0.650739,1.29387,3.4,0.24,L,2,79,401.778,65.6808,5.54393,-20.0539,-3.28501,11.7292,CU
Ziegler,Brad,446899,8025374,17325400,73.4364,-2.31475,3.33201,1.19772,3.2631,7.322,5.224,R,9,76,1273.8,122.244,8.97901,-6.8877,-5.18556,3.98226,CU
Arrieta,Jake,453562,8096910,17599687,81.0302,-2.96397,6.40374,-0.421535,4.22559,8.857,-10.469,R,7,76,3585.56,40.7996,8.2199,-15.6431,-4.43795,8.40196,CU
Hudson,Tim,218596,6858506,14160842,76.6121,-0.456569,5.5827,1.47008,1.80656,7.8,-9.2,R,8,73,2765.87,38.5575,6.19697,-18.4091,-3.57239,10.5068,CU
Lyles,Jordan,543475,7018848,14618104,79.7692,-1.15492,5.73897,1.01428,1.26537,4.386,-8.479,R,5,76,1833.91,27.0545,5.93999,-19.7818,-3.20785,10.5726,CU
Fife,Stephen,543155,8088750,17567917,80.083,-1.54431,6.32993,-0.0362315,1.43887,6.865,-7.664,R,2,75,2175.73,38.3917,5.37045,-20.383,-2.91094,10.9234,CU
Rodriguez,Fernando,451775,7932854,16967858,77.6661,-1.28908,6.74438,0.442649,1.47771,-0.142,-7.243,L,7,75,1079.05,3.01073,3.42912,-20.8269,-1.9427,11.6407,CU
Eovaldi,Nathan,543135,8311432,18339341,79.6313,-2.60604,6.40113,-0.854375,3.05404,8.521,-8.098,L,1,75,2532.14,44.462,6.3574,-17.291,-3.48353,9.40101,CU
Aumont,Phillippe,518418,8189125,17870194,81.1082,-3.79343,5.78202,0.571999,2.14761,7.82,-3.141,R,9,79,1331.98,64.4099,11.6931,-16.2998,-6.31462,8.76908,CU
Pauley,David,456102,7955114,17056282,74.1476,-2.79859,5.96962,0.117603,2.31239,9.528,-7.998,L,8,74,2769.51,48.4756,8.43424,-17.7715,-4.982,10.4079,CU
Harang,Aaron,421685,8239960,18065349,74.9697,-2.25049,6.61116,0.0980156,1.5509,4.5,-5.761,L,5,79,1045.05,35.4279,5.96869,-19.8652,-3.42856,11.2768,CU
Parnell,Robert,458730,7924921,16937227,80.4849,-3.05875,5.89878,-1.44071,2.57842,4.606,-6.29,L,6,76,1096.42,34.6908,4.89323,-16.6753,-2.635,8.91339,CU
Hernandez,Felix,433587,8072335,17504364,82.1124,-2.35543,6.12683,0.210062,0.634024,3.434,-6.271,R,5,75,1226.36,27.6087,6.54501,-21.2578,-3.53302,11.3392,CU
Moseley,Dustin,400291,6662598,13601856,76.6168,-1.60375,5.87794,-0.912864,0.438816,-1.719,-4.745,L,1,76,702.081,346.542,0.844187,-20.395,-0.473134,11.2827,CU
Pelfrey,Mike,460059,7847441,16718989,80.5078,-2.3513,5.78595,0.112806,1.05103,-0.752,-2.941,L,6,79,411.946,359.361,4.93731,-18.561,-2.62793,9.78983,CU
Garza,Matt,490063,7219841,15151028,72.5475,-2.04321,6.38907,0.0469522,3.0358,2.237,-8.561,L,1,76,1347.27,16.573,4.61209,-17.3618,-2.74206,10.2204,CU
Wainwright,Adam,425794,7976037,17136826,72.2657,-1.26745,6.49541,-0.493219,2.0349,6.97,-8.74,L,1,79,2262.08,35.4456,3.51333,-19.4992,-2.09694,11.4869,CU
Fernandez,Jose,605228,8236480,18052099,82.0267,-1.92699,5.6162,-0.0931168,2.741,7.679,-2.951,R,6,75,1242.13,64.5376,6.46653,-14.6406,-3.42043,7.70648,CU
Wright,Steven,453214,8295302,18277140,79.3018,-1.16231,5.97783,1.26387,2.18608,11.98,-5.827,R,1,73,3505.21,60.6724,8.80774,-17.4651,-4.85902,9.56828,CU
Veras,Jose,407842,7519684,15881474,77.3998,-2.64687,5.77707,-0.919274,2.94073,9.14,-5.85,R,8,78,2035.6,55.2618,6.40143,-15.5272,-3.53658,8.52569,CU
Hellickson,Jeremy,476451,7993405,17203086,77.9934,-1.67322,6.02502,-0.854538,2.71952,9.459,-9.516,L,1,73,3225.96,42.3755,4.64312,-17.6255,-2.59282,9.75386,CU
Wainwright,Adam,425794,8253344,18116341,73.9852,-1.27067,6.53071,0.039926,2.00276,7.99,-9.39,L,5,79,2802.77,37.3843,4.8851,-19.8485,-2.89926,11.6277,CU
Deduno,Samuel,465679,8041465,17386801,81.3005,-1.36577,6.01509,1.00705,1.0086,6.88,-1.97,L,1,75,1045.4,66.001,7.35377,-18.8593,-3.85517,9.80497,CU
Nova,Ivan,467100,8013282,17278921,79.759,-2.57787,6.54656,0.0633311,1.55473,7.318,-9.314,L,1,76,2875.61,36.5262,7.78431,-21.0584,-4.29073,11.4733,CU
Burnett,A.J.,150359,8277354,18208568,84.6713,-1.75541,5.79587,1.53931,0.541676,4.587,-1.358,R,1,76,762.914,61.392,8.82619,-19.3219,-4.51431,9.80615,CU
Williams,Jerome,425532,8177713,17825179,79.3784,-2.80939,5.64636,-0.747433,1.58437,4.918,-2.944,L,9,75,749.541,52.4412,5.84743,-17.1114,-3.18756,9.25604,CU
Moseley,Dustin,400291,7078628,14781257,78.4283,-1.39872,5.80259,0.398708,2.26643,1.17,-8.03,R,5,76,1154.05,10.2139,4.08326,-17.6759,-2.20673,9.47021,CU
Nova,Ivan,467100,8320976,18375772,80.2313,-2.40469,6.85645,0.352078,1.66322,5.643,-5.996,L,3,76,1485.34,40.1639,7.5661,-20.4647,-4.10858,10.995,CU
Worley,Vance,474699,6828965,14075843,73.445,-2.47244,6.63792,-1.35824,0.85479,1.67,-11.84,L,5,74,2420.14,8.32555,2.64234,-23.0284,-1.54219,13.2048,CU
Greinke,Zack,425844,8234589,18044936,71.4017,-1.72219,5.90289,0.946834,2.30635,5.591,-3.948,R,7,74,876.772,51.503,6.59371,-16.4674,-3.97999,9.85738,CU
Gray,Sonny,543243,8353602,18501281,82.9175,-0.754876,5.78994,0.93591,1.56499,10.482,-5.262,L,8,71,2640.86,58.6307,7.15109,-18.3138,-3.75939,9.55207,CU
Porcello,Rick,519144,8208531,17945046,80.9203,-2.01014,6.1071,1.65901,1.48669,7.842,-2.993,L,3,77,1312.12,63.9511,10.3443,-18.3483,-5.4815,9.66003,CU
Pelfrey,Mike,460059,7342690,15452004,76.0331,-2.59987,6.12827,-1.58523,2.72125,-0.159,-3.58,L,5,79,379.904,0.740068,1.9902,-15.9682,-1.09566,8.724,CU
Bell,Heath,425514,8015143,17286004,81.6458,-1.76677,6.66812,0.782088,1.4458,2.993,-8.402,R,9,75,1782.23,20.4244,6.47621,-21.5167,-3.36288,11.0468,CU
Wade,Cory,460677,7846377,16715007,74.7971,-2.73197,6.59749,-0.452176,2.99748,7.825,-8.797,R,5,74,2271.45,40.5992,6.82203,-17.9313,-3.93918,10.2592,CU
Hernandez,David,456696,7606118,16093164,79.8993,-1.26885,6.04822,-1.11191,4.53456,7.04,-0.33,R,8,74,859.436,83.6446,2.6406,-10.946,-1.41165,5.83258,CU
Bailey,Andrew,457732,8171649,17801746,79.347,-2.69362,6.39102,-2.27379,2.37872,6.373,-9.584,L,8,75,2323.79,30.8256,2.92045,-19.1466,-1.59654,10.3555,CU
Weber,Thad,519403,8238532,18059988,82.842,-2.96721,6.22341,0.152345,1.83837,0.247,-6.02,R,9,74,851.724,8.75807,6.8357,-18.9488,-3.53586,9.71964,CU
