last,first,mlbid,ab_id,pitch_id,start_speed,x0,z0,px,pz,pfx_x,pfx_z,stand,inning,height,spinrateND,spindirND,vxf,vzf,xangle,zangle,pitch_type
Martinez,Cristhian,450852,8169601,17793889,83.7699,-1.27575,5.27625,-0.717998,1.0886,-10.45,0.493,L,7,73,1507.71,274.86,-2.35144,-16.3254,1.21177,8.35452,CH
Kelly,Joe,523260,8295397,18277503,83.7936,-2.18565,5.61016,-1.38079,2.79579,-10.327,0.199,L,2,73,1637.64,273.491,-1.79146,-13.4209,0.912117,6.80163,CH
Hernandez,Roberto,433584,8061832,17464406,86.5716,-1.23513,5.55725,-1.10519,2.6061,-4.183,-2.827,L,3,76,594.622,311.784,-1.19143,-14.7745,0.589163,7.26708,CH
Oliveros,Lester,500902,7836866,16682199,80.8521,-2.42938,5.96856,-0.989201,3.52035,-10.59,7.29,L,8,71,2190.94,237.891,-0.441621,-10.4174,0.239197,5.62433,CH
Frazier,Parker,518691,8137293,17719377,79.5785,-3.18702,5.00361,-2.45373,4.5119,-0.804,-6.347,R,5,77,745.563,354.783,1.26197,-10.8134,-0.679864,5.80585,CH
Cloyd,Tyler,543031,8081089,17538162,85.3806,-2.3897,5.755,0.196649,1.61405,0.273,6.112,R,3,75,524.043,168.48,5.88059,-14.2917,-2.93583,7.10461,CH
Valdez,Rolando,455377,7918844,16915226,79.4057,-1.01834,6.11074,0.239134,1.72796,-6.172,9.749,L,3,73,1556.18,214.188,0.597468,-13.6283,-0.317024,7.19337,CH
Shields,James,448306,8224491,18006601,85.5669,-1.05674,6.08018,-1.67186,3.73386,-8.057,4.462,L,4,76,1347.1,245.798,-4.1956,-10.8628,2.10645,5.43988,CH
Thompson,Taylor,543853,8110528,17651678,80.8061,-3.15869,5.96977,-0.593074,1.52619,-2.254,3.062,R,5,77,202.851,221.169,4.67226,-15.9706,-2.47697,8.41102,CH
Clippard,Tyler,461325,7182562,15059186,81.1163,-1.12528,6.41719,-0.301272,1.66402,-5.313,10.356,L,9,75,1505.81,209.974,-0.0160534,-14.2142,0.00853885,7.51717,CH
Vogelsong,Ryan,285064,7967277,17102992,83.3782,-1.89381,5.79276,0.145275,1.9587,-9.133,6.201,L,4,75,1426.4,239.206,1.32051,-13.5934,-0.673656,6.90138,CH
Guthrie,Jeremy,425386,8135476,17715765,84.8503,-1.38404,6.12633,0.0282954,2.56697,-3.665,8.904,L,1,73,1197.57,202.591,1.8568,-12.0423,-0.941383,6.08292,CH
Cordero,Francisco,150188,7971654,17119978,87.034,-1.09353,6.24825,0.363004,2.65604,-6.005,8.292,L,8,75,1206.81,218.245,1.17219,-12.2969,-0.586704,6.13155,CH
Marcum,Shaun,451788,6767975,13896967,78.4725,-1.39228,6.18618,0.581495,0.735898,-5.76,3.36,L,1,72,511.586,252.107,2.1956,-17.9226,-1.20133,9.71373,CH
Weaver,Jered,450308,6847209,14128102,80.9026,-3.63498,6.12409,-0.935271,2.12048,-6.74,9,L,4,79,1218.55,217.569,3.45464,-13.0988,-1.85634,7.00592,CH
Webster,Allen,543903,8351759,18494248,84.4045,-2.37592,6.15721,-0.944305,1.70129,-7.377,6.51,L,1,75,1110.73,233.946,0.609021,-14.8564,-0.311125,7.54569,CH
Lohse,Kyle,346798,7861753,16772792,81.1523,-1.25974,6.41947,0.336599,2.66552,-6.479,4.716,R,2,74,782.85,239.458,1.23206,-13.962,-0.651246,7.33999,CH
Cashner,Andrew,488768,8202697,17922474,87.2291,-1.75584,6.27873,-0.0341159,2.68119,-6.305,4.56,L,2,78,774.576,239.246,1.67184,-13.6122,-0.821692,6.66056,CH
Estrada,Marco,462136,8067573,17486264,78.7468,-1.30975,6.20245,-1.14133,1.88932,-8.498,8.106,L,3,72,1725.17,231.339,-2.39697,-14.0589,1.30375,7.60322,CH
Butera,Drew,460077,7968917,17109244,84.5807,-1.45544,6.05537,0.709042,2.72983,-6.302,8.418,L,8,73,1409.8,217.465,2.5997,-11.6965,-1.31838,5.91159,CH
Gomez,Jeanmar,491646,7942751,17005587,83.6244,-2.10043,6.23385,0.168896,1.51558,-10.656,3.702,R,2,75,1402.11,257.88,1.30883,-16.382,-0.676202,8.40334,CH
Benoit,Joaquin,276542,8338211,18441885,86.0811,-3.15295,6.1517,0.731623,1.3845,-7.273,3.832,L,9,75,746.948,248.96,6.154,-16.5004,-3.07253,8.18987,CH
Maurer,Brandon,543506,8305104,18314860,86.6735,-1.35919,6.09019,-0.5403,2.73526,-5.464,8.127,L,7,77,1155.05,216.829,-0.0782045,-11.8227,0.0391732,5.90112,CH
Burnett,Alex,488751,7342213,15450188,87.6596,-1.36182,5.66992,0.0184844,1.41387,0.497,5.172,R,7,72,403.446,165.707,3.32691,-14.9001,-1.64163,7.31434,CH
Gonzalez,Miguel,456068,8276678,18205969,84.5469,-1.10113,5.97639,0.667927,1.25466,-8.142,-0.679,L,2,73,1050.13,284.855,1.08729,-17.9382,-0.549306,8.98827,CH
Arroyo,Bronson,276520,7906573,16890171,79.3672,-2.69672,6.46868,-0.063879,3.85502,-2.715,4.92,L,4,76,472.531,205.636,4.59644,-11.5385,-2.45893,6.15272,CH
